date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,artist_name
2024-09-07,64103847,254,293,1.260%,804761.9,2728.2,0.339%,0.0,Maluma
2024-09-06,64111554,254,293,1.258%,803879.0,2723.6,0.339%,1.0,Maluma
2024-09-05,64115277,254,293,1.257%,803010.6,2718.5,0.339%,1.0,Maluma
2024-09-04,64123889,254,293,1.255%,801953.6,2714.6,0.338%,2.0,Maluma
2024-09-03,64127673,254,293,1.253%,800711.0,2710.8,0.339%,2.0,Maluma
2024-09-02,64131622,254,293,1.249%,798611.8,2704.1,0.339%,2.0,Maluma
2024-09-01,64134229,255,293,1.241%,793514.4,2693.3,0.339%,2.0,Maluma
2024-08-31,64136117,255,293,1.116%,713170.2,2700.3,0.379%,2.0,Maluma
2024-08-30,64139535,255,292,1.166%,745042.9,2932.1,0.394%,1.0,Maluma
2024-08-29,64139851,255,292,1.164%,743738.2,2928.2,0.394%,2.0,Maluma
2024-08-28,64137386,255,291,1.162%,742047.7,2918.2,0.393%,1.0,Maluma
2024-08-27,64140390,255,291,1.159%,740339.9,2910.5,0.393%,1.0,Maluma
2024-08-26,64143013,255,291,1.155%,737847.9,2901.9,0.393%,1.0,Maluma
2024-08-25,64144943,255,291,1.147%,733000.1,2889.1,0.394%,2.0,Maluma
2024-08-24,64145660,255,291,1.134%,724600.3,2876.7,0.397%,2.0,Maluma
2024-08-23,64146767,255,291,1.130%,721262.2,3324.2,0.461%,3.0,Maluma
2024-08-22,64147374,255,290,1.127%,719335.0,3320.8,0.462%,2.0,Maluma
2024-08-21,64152475,255,290,1.123%,716819.3,3313.5,0.462%,3.0,Maluma
2024-08-20,64156973,255,290,1.116%,712528.5,3303.7,0.464%,3.0,Maluma
2024-08-19,64160191,255,290,1.105%,705013.8,3878.2,0.550%,4.0,Maluma
2024-08-18,64163874,255,289,1.091%,696170.0,3856.8,0.554%,3.0,Maluma
2024-08-17,64163693,255,289,1.142%,724960.2,7564.8,1.043%,3.0,Maluma
2024-08-16,64156692,255,288,1.133%,719539.3,7550.1,1.049%,3.0,Maluma
